,Country,Capital,Population,Area,2020,2021,2022,2023,2024,2025,2026,2027,Average Score
21,Bhutan,Thimphu,699847,47000.0,2416,2397,2653,2881,3179,3474,3775,4089,69.24668874172185
19,Brazil,Brasília,201103330,8511965.0,1448550,1608080,1833274,1980483,2124987,2228793,2328671,2447681,68.97456076766422
84,Latvia,Riga,2217969,64589.0,33619,38965,40266,43128,46762,50105,53393,56685,68.6100121954847
61,Ireland,Dublin,4622917,70280.0,425549,498891,516146,562134,603127,640004,677733,715732,68.1902671607735
3,Armenia,Yerevan,2968000,29800.0,12641,13928,14047,15842,17258,18377,19726,21251,68.1117000237323
56,Honduras,Tegucigalpa,7989415,112090.0,23828,28221,30116,31661,33356,35356,37555,39845,67.21923787141179
57,Croatia,Zagreb,4491000,56542.0,57204,67838,69459,75827,80712,85769,90678,95626,67.16663170407664
92,Mauritania,Nouakchott,3205060,1030700.0,8110,9130,9280,9705,10930,11618,12085,13554,67.12700369913686
40,Eritrea,Asmara,5792984,121320.0,2083,2271,2568,2777,2945,3107,3289,3479,67.01872299567931
81,Lesotho,Maseru,1919552,30355.0,2061,2464,2561,2716,2902,3102,3274,3439,66.86074721009219
66,Iceland,Reykjavik,308910,103000.0,21625,25459,27865,29476,31305,32884,34443,36077,66.83005780346821
113,Poland,Warsaw,38500000,312685.0,596633,674127,699559,755645,817942,883295,936768,993950,66.59319883412415
119,Romania,Bucharest,21959278,237500.0,249512,283476,286509,312694,337236,362543,388592,414990,66.32065792426816
5,Argentina,Buenos Aires,41343201,2766890.0,389064,488605,564277,573633,573964,587988,616405,646202,66.0914399687455
73,Cambodia,Phnom Penh,14453680,181040.0,25192,26187,28020,30239,32688,35412,38424,41803,65.93759923785328
44,Fiji,Suva,875983,18270.0,4574,4657,5172,5734,6271,6727,7128,7555,65.17271534761696
90,Mali,Bamako,13796354,1240000.0,17491,19188,19264,21191,23176,24804,26831,28736,64.29020639185867
62,Israel,None,7353985,20770.0,407101,481591,520703,547765,577469,607732,638146,668815,64.28724075843587
20,Bahamas,Nassau,301790,13940.0,9908,11126,12627,13630,14425,15074,15660,16257,64.07953169156238
142,Taiwan,Taipei,22894384,35980.0,669250,789505,841209,892516,939405,990835,1043130,1095266,63.65573403063131
77,Kazakhstan,Astana,15340000,2717300.0,171082,190814,193611,225928,238323,252981,266027,279843,63.57243894740534
28,Cameroon,Yaoundé,19294149,475440.0,40863,45049,45713,49518,53355,57633,62145,66738,63.32134204537112
105,Norway,Oslo,5009150,324220.0,362198,482437,541938,549733,559533,565327,572055,591374,63.273679037432565
53,Guatemala,Guatemala City,13550440,108890.0,77603,85715,91019,95988,103009,110249,118005,126298,62.748862801695815
7,Australia,Canberra,21515754,7686850.0,1357317,1633290,1748334,1828394,1917797,2000036,2089911,2185847,61.041746327497556
108,Oman,Muscat,2967717,212460.0,72056,83656,110127,110250,109184,110321,112614,115757,60.64866215165981
15,Burundi,Bujumbura,9863117,27830.0,3086,3329,3431,3686,3992,4322,4635,4947,60.30460142579391
93,Malta,Valletta,403000,316.0,14905,17201,17251,18627,19981,21248,22552,23842,59.959745051995974
2,Albania,Tirana,2986952,28748.0,15161,18314,17942,19062,20339,21622,22931,24249,59.943275509531034
100,Namibia,Windhoek,2128471,825418.0,10619,12346,13019,14205,15018,15746,16482,16971,59.817308597796405
128,Slovakia,Bratislava,5455000,48845.0,105088,114947,118434,131046,140272,149728,158351,166880,58.80024360535931
117,Paraguay,Asunción,6375830,406750.0,35432,38287,41935,44671,47227,50142,53063,56190,58.58545947166404
89,Madagascar,Antananarivo,21281844,587040.0,13056,14184,14616,15189,16472,17789,19196,20695,58.509497549019606
114,Palestine,None,3800000,5970.0,15532,17775,19698,20891,21853,22745,23634,24603,58.40200875611641
103,Nicaragua,Managua,5995928,129494.0,12620,14250,15764,16776,17515,18323,19104,19966,58.20919175911252
35,Dominica,Roseau,72813,754.0,544,567,635,695,741,787,823,860,58.08823529411765
24,Belize,Belmopan,314522,22966.0,1586,1797,1991,2135,2226,2316,2409,2507,58.07061790668349
31,Cyprus,Nicosia,1102677,9250.0,24672,27639,27726,30137,32493,34594,36733,38962,57.91990920881972
140,Turkey,Ankara,77804122,780580.0,719919,806804,692380,714305,814478,913223,1017802,1135918,57.78413960459441
126,Singapore,Singapore,4701069,692.7,345286,396992,424431,450999,473966,496813,520179,543842,57.50479312801562
36,Algeria,Algiers,34586184,2381740.0,147600,164564,193601,199382,204551,212973,222863,231837,57.07113821138211
133,Chad,N'Djamena,10543464,1284000.0,10728,11795,12938,13517,14220,15007,15892,16823,56.81394481730052
83,Luxembourg,Luxembourg,497538,2586.0,73294,86768,86898,91773,98022,103455,109037,114598,56.35386252626409
87,Moldova,Chişinău,4324000,33843.0,11530,13672,13811,13752,14412,15590,16779,18020,56.28794449262793
155,Zimbabwe,Harare,11651858,390580.0,23146,32568,36387,34654,36106,36393,36035,36117,56.03992050462283
18,Bolivia,Sucre,9947418,1098580.0,36897,39756,41032,43351,46482,49792,53287,57027,54.55728107976259
72,Kyrgyzstan,Bishkek,5776500,198500.0,7792,8538,9017,9511,9978,10667,11374,12037,54.47895277207392
94,Mauritius,Port Louis,1294104,2040.0,10921,11078,11263,12538,13905,15030,16013,16831,54.115923450233495
125,Sweden,Stockholm,9828655,449964.0,541487,627438,621241,669872,704462,746387,789528,833343,53.898985571214084
